movie_id,imdb_id,tmdb_id,rating,average_rating,title
3578,0172495,98,4.0,3.97785,Gladiator (2000)
3616,0217630,10642,3.5,2.62554,Loser (2000)
3617,0215129,9285,4.0,3.11744,Road Trip (2000)
3623,0120755,955,3.5,2.9868,Mission: Impossible II (2000)
3624,0184894,8584,4.0,3.24975,Shanghai Noon (2000)
3702,0079501,9659,3.0,3.50974,Mad Max (1979)
3703,0082694,8810,3.0,3.65875,Mad Max 2 (1981)
3704,0089530,9355,3.0,3.13604,Mad Max Beyond Thunderdome (1985)
3706,0092563,635,5.0,3.56421,Angel Heart (1987)
3717,0187078,9679,4.0,3.11155,Gone in Sixty Seconds (2000)
3744,0162650,479,4.0,2.9499,Shaft (2000)
3752,0183505,2123,4.5,3.00479,"Me, Myself & Irene (2000)"
3753,0187393,2024,4.0,3.46336,The Patriot (2000)
3785,0175142,4247,4.0,2.76001,Scary Movie (2000)
3793,0120903,36657,3.5,3.5285,X-Men (2000)
3798,0161081,2655,2.5,3.20924,What Lies Beneath (2000)
3825,0200550,6282,3.5,2.70779,Coyote Ugly (2000)
3826,0164052,9383,3.0,2.56439,Hollow Man (2000)
3948,0212338,1597,4.5,3.39087,Meet the Parents (2000)
3950,0170691,10687,4.0,3.51063,Tigerland (2000)
3977,0160127,4327,3.0,2.74304,Charlie's Angels (2000)
3979,0185431,9678,1.5,2.45784,Little Nicky (2000)
3980,0203019,11978,4.5,3.64691,Men of Honor (2000)
3981,0199753,8870,3.0,2.78375,Red Planet (2000)
3994,0217869,9741,4.5,3.51331,Unbreakable (2000)
3997,0190374,11849,3.0,2.08586,Dungeons & Dragons (2000)
4007,0094291,10673,4.5,3.72181,Wall Street (1987)
4011,0208092,107,5.0,4.06864,Snatch (2000)
4018,0207201,3981,4.0,3.09407,What Women Want (2000)
4020,0219699,2046,2.0,3.36338,The Gift (2000)
4022,0162222,8358,5.0,3.69876,Cast Away (2000)
4023,0218967,5994,3.0,3.37554,The Family Man (2000)
4025,0212346,1493,3.0,3.08786,Miss Congeniality (2000)
4027,0190590,134,5.0,3.87391,"O Brother, Where Art Thou? (2000)"
4034,0181865,1900,1.5,3.78155,Traffic (2000)
4052,0218817,9989,3.0,3.10977,Antitrust (2001)
4148,0212985,9740,2.5,3.25186,Hannibal (2001)
4167,0179626,2749,4.0,2.97098,15 Minutes (2001)
4223,0215750,853,4.0,3.7206,Enemy at the Gates (2001)
4226,0209144,77,4.5,4.13575,Memento (2000)
4239,0221027,4133,4.5,3.72502,Blow (2001)
4255,0240515,13166,3.0,2.21683,Freddy Got Fingered (2001)
4262,0086250,111,5.0,3.94117,Scarface (1983)
4270,0209163,1734,3.0,3.00426,The Mummy Returns (2001)
